class_number,grade,Coding,Math,Teamwork,activity,등급
s1,3.6,3.625,3.5,0.0,360,Silver
s10,3.5,3.5,0.0,3.5,350,Bronze
s100,3.65,3.59375,3.6666666666666665,4.5,365,Gold
s1000,3.0263157894736845,3.03125,3.0,2.5,302,Silver
s1001,3.0625,3.041666666666666,2.5,3.0,306,Bronze
s1002,2.416666666666666,2.25,2.5,3.333333333333334,241,Bronze
s1003,2.9736842105263155,3.0,2.5,3.0,297,Bronze
s1004,2.2999999999999994,2.0416666666666665,2.5,3.5,229,Bronze
s1005,2.529411764705883,2.5,3.25,0.0,252,Bronze
s1006,2.8684210526315774,3.0,3.25,3.0,286,Silver
s1007,3.285714285714285,3.6000000000000005,2.0,3.0,328,Bronze
s1008,2.3666666666666667,2.363636363636364,0.0,3.5,236,Bronze
s1009,2.5,2.5,0.0,2.5,250,Bronze
s101,2.850000000000001,2.777777777777778,3.0,4.0,285,Silver
s1010,3.1111111111111125,3.307692307692307,2.0,4.5,311,Bronze
s1011,2.692307692307693,2.6363636363636362,2.5,3.5,269,Bronze
s1012,3.272727272727273,3.3125,2.5,4.5,327,Silver
s1013,3.2857142857142856,3.2857142857142856,2.875,4.5,328,Silver
s1014,3.55,3.6666666666666665,0.0,2.5,355,Bronze
s1015,3.708333333333334,3.600000000000001,4.0,4.5,370,Gold
s1016,1.9166666666666667,1.7,0.0,3.0,191,Bronze
s1017,1.4499999999999995,1.4411764705882353,1.0,2.5,144,Bronze
s1018,2.357142857142857,2.1666666666666665,0.0,3.5,235,Bronze
s1019,2.6999999999999997,2.5,0.0,3.5,270,Bronze
s102,3.7199999999999993,3.7750000000000012,3.5,3.0,371,Silver
s1020,3.416666666666666,3.566666666666668,2.25,3.5,341,Bronze
s1021,2.789473684210527,2.78125,2.5,3.5,278,Bronze
s1022,3.2692307692307687,3.3636363636363646,2.0,3.5,326,Bronze
s1023,4.055555555555556,3.9285714285714284,4.5,4.5,405,Platinum
s1024,3.214285714285715,3.3000000000000003,2.5,3.5,321,Bronze
s1025,2.8333333333333335,2.7083333333333335,3.25,3.5,283,Silver
s1026,3.125,3.214285714285715,0.0,2.5,312,Bronze
s1027,3.5625,3.7307692307692317,3.0,2.5,356,Silver
s1028,2.9545454545454537,2.9545454545454537,0.0,0.0,295,Bronze
s1029,1.25,1.5,0.0,2.5,125,Bronze
s103,3.029411764705883,3.166666666666666,1.5,2.5,302,Bronze
s1030,2.25,1.8333333333333333,0.0,3.5,225,Bronze
s1031,2.6315789473684226,2.6764705882352953,1.0,3.5,263,Bronze
s1032,0.0,0.0,0.0,0.0,0,Bronze
s1033,2.25,2.0,0.0,3.5,225,Bronze
s1034,2.214285714285715,2.25,1.5,2.5,221,Bronze
s1035,2.75,2.722222222222222,0.0,3.0,275,Bronze
s1036,1.9375,1.8571428571428574,0.0,2.5,193,Bronze
s1037,3.5,3.5,0.0,3.5,350,Bronze
s1038,2.0,2.0,0.0,0.0,200,Bronze
s1039,1.9375,1.8571428571428574,0.0,2.5,193,Bronze
s104,2.6315789473684226,2.7058823529411757,1.5,2.5,263,Bronze
s1040,3.125,3.214285714285715,0.0,2.5,312,Bronze
s1041,3.0,3.0,2.5,3.5,300,Bronze
s1042,4.0,3.928571428571428,0.0,4.5,400,Bronze
s1043,3.5,3.5,0.0,3.5,350,Bronze
s1044,2.9333333333333322,2.9090909090909087,4.25,3.5,293,Silver
s1045,3.857142857142857,3.861111111111113,3.5,4.5,385,Platinum
s1046,2.6875,2.75,1.0,3.5,268,Bronze
s1047,3.035714285714285,3.125,1.5,3.5,303,Bronze
s1048,2.416666666666667,2.3999999999999995,1.5,3.5,241,Bronze
s1049,3.2954545454545463,3.4722222222222228,3.75,2.5,329,Silver
s105,3.725,3.7222222222222228,4.0,3.5,372,Gold
s1050,3.7,3.428571428571428,4.25,4.5,370,Platinum
s1051,2.772727272727273,2.722222222222222,3.5,2.5,277,Silver
s1052,2.0714285714285716,2.0,0.0,2.5,207,Bronze
s1053,2.0625,2.0,0.0,2.5,206,Bronze
s1054,3.625,3.5,0.0,4.5,362,Bronze
s1055,3.6666666666666665,3.8125,0.0,2.5,366,Bronze
s1056,3.5,3.642857142857143,0.0,2.5,350,Bronze
s1057,3.0416666666666665,3.0,2.0,4.5,304,Bronze
s1058,3.6875,3.714285714285715,0.0,3.5,368,Bronze
s1059,3.4375,3.535714285714285,2.0,3.5,343,Bronze
s106,3.763157894736841,3.7666666666666666,4.0,3.5,376,Gold
s1060,3.9249999999999985,3.911764705882353,3.75,4.5,392,Platinum
s1061,3.96875,4.035714285714286,2.5,4.5,396,Platinum
s1062,3.2352941176470584,3.166666666666666,3.0,4.5,323,Silver
s1063,1.8461538461538465,1.9545454545454544,0.0,2.5,184,Bronze
s1064,3.75,3.928571428571428,0.0,2.5,375,Bronze
s1065,1.5416666666666667,1.5999999999999999,0.0,2.5,154,Bronze
s1066,4.130434782608694,4.266666666666667,2.0,4.5,413,Platinum
s1067,3.6666666666666665,3.6999999999999997,0.0,3.5,366,Bronze
s1068,3.736842105263159,3.6470588235294117,4.5,4.5,373,Platinum
s1069,2.785714285714285,2.6666666666666665,0.0,3.5,278,Bronze
s107,3.041666666666666,3.0681818181818183,3.0,2.5,304,Silver
s1070,3.277777777777778,3.25,0.0,3.5,327,Bronze
s1071,2.785714285714285,2.6666666666666665,0.0,3.5,278,Bronze
s1072,3.0,2.916666666666667,0.0,3.5,300,Bronze
s1073,3.59375,3.4615384615384603,4.0,4.5,359,Gold
s1074,3.0,3.416666666666667,2.0,2.5,300,Bronze
s1075,1.1666666666666665,1.1500000000000001,0.0,2.5,116,Bronze
s1076,2.727272727272727,2.777777777777778,2.5,2.5,272,Bronze
s1077,1.785714285714286,1.6666666666666665,0.0,2.5,178,Bronze
s1078,2.8333333333333335,2.785714285714285,0.0,3.5,283,Bronze
s1079,3.75,3.785714285714285,0.0,3.5,375,Bronze
s108,3.521739130434782,3.75,3.0,4.0,352,Gold
s1080,2.461538461538461,2.454545454545454,2.5,2.5,246,Bronze
s1081,3.2307692307692313,3.1818181818181808,3.5,3.5,323,Silver
s1082,3.75,3.850000000000001,3.0,3.5,375,Gold
s1083,3.708333333333334,3.649999999999999,3.5,4.5,370,Gold
s1084,4.022727272727271,4.0,4.0,4.0,402,Platinum
s1085,3.0769230769230775,3.25,2.5,2.5,307,Bronze
s1086,3.25,3.142857142857143,4.0,0.0,325,Bronze
s1087,3.1999999999999997,3.1875,3.0,3.5,320,Silver
s1088,4.5,4.5,0.0,0.0,450,Bronze
s1089,3.9722222222222223,4.03125,3.5,3.5,397,Gold
s109,2.75,2.6666666666666665,0.0,3.0,275,Bronze
