"","년도","학기","학번(입학연도)","class_number","소속","교과목번호","교과목명","이수구분","교직영역","선택영역","학점","등급","평가방식","평점","재수강"
"1","2012","1학기","12","s62","전자정보공학대학 컴퓨터공학과","004109","프로그래밍1","전필",NA,NA,"3","B0","GRADE","3.0",NA
"2","2014","2학기","12","s62","전자정보공학대학 컴퓨터공학과","003437","프로그래밍2","전필",NA,NA,"3","C+","GRADE","2.5",NA
"3","2015","1학기","12","s62","전자정보공학대학 컴퓨터공학과","005611","디지털논리회로","전필","기본이수",NA,"3","B+","GRADE","3.5",NA
"4","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","C+","GRADE","2.5",NA
"5","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","B+","GRADE","3.5",NA
"6","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","B0","GRADE","3.0",NA
"7","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","A0","GRADE","4.0",NA
"8","2016","2학기","12","s62","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","C+","GRADE","2.5",NA
"9","2012","1학기","12","s63","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","B0","GRADE","3.0",NA
"10","2012","2학기","12","s63","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","A+","GRADE","4.5",NA
"11","2012","2학기","12","s63","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","B0","GRADE","3.0",NA
"12","2013","1학기","12","s63","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","B0","GRADE","3.0",NA
"13","2013","1학기","12","s63","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","A0","GRADE","4.0",NA
"14","2013","1학기","12","s63","전자정보공학대학 컴퓨터공학과","007589","기초프로그래밍설계","전선",NA,NA,"3","B+","GRADE","3.5",NA
"15","2013","2학기","12","s63","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전선",NA,NA,"3","B0","GRADE","3.0",NA
"16","2013","2학기","12","s63","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전선",NA,NA,"3","C0","GRADE","2.0",NA
"17","2013","2학기","12","s63","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","A0","GRADE","4.0",NA
"18","2016","1학기","12","s63","전자정보공학대학 컴퓨터공학과","003281","컴퓨터그래픽스","전선",NA,NA,"3","B0","GRADE","3.0",NA
"19","2016","1학기","12","s63","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","B+","GRADE","3.5",NA
"20","2016","1학기","12","s63","전자정보공학대학 컴퓨터공학과","007219","데이터베이스","전선",NA,NA,"3","A0","GRADE","4.0",NA
"21","2016","1학기","12","s63","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","A0","GRADE","4.0",NA
"22","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","C0","GRADE","2.0",NA
"23","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","001769","소프트웨어공학","전선",NA,NA,"3","C+","GRADE","2.5",NA
"24","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","003272","컴파일러","전선",NA,NA,"3","B0","GRADE","3.0",NA
"25","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전필","기본이수",NA,"3","B+","GRADE","3.5",NA
"26","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","005617","Unix프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"27","2016","2학기","12","s63","전자정보공학대학 컴퓨터공학과","006564","닷넷프로그래밍","전선",NA,NA,"3","C+","GRADE","2.5",NA
"28","2012","1학기","12","s64","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전선",NA,NA,"3","B0","GRADE","3.0",NA
"29","2012","2학기","12","s64","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5",NA
"30","2012","2학기","12","s64","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","B+","GRADE","3.5",NA
"31","2015","1학기","12","s64","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","B+","GRADE","3.5",NA
"32","2015","2학기","12","s64","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","A+","GRADE","4.5",NA
"33","2015","2학기","12","s64","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전선",NA,NA,"3","B0","GRADE","3.0",NA
"34","2015","2학기","12","s64","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","A+","GRADE","4.5",NA
"35","2015","2학기","12","s64","전자정보공학대학 컴퓨터공학과","006563","고급C프로그래밍","전필",NA,NA,"3","A0","GRADE","4.0",NA
"36","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","A0","GRADE","4.0","2015-1 004268 데이터구조론(학부)"
"37","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","004310","운영체제","전필",NA,NA,"3","A0","GRADE","4.0",NA
"38","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","005246","신호및시스템","전선",NA,NA,"3","B0","GRADE","3.0",NA
"39","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","007219","데이터베이스","전선",NA,NA,"3","B+","GRADE","3.5",NA
"40","2016","1학기","12","s64","전자정보공학대학 컴퓨터공학과","007330","확률및통계","전선",NA,NA,"3","B+","GRADE","3.5",NA
"41","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","A0","GRADE","4.0",NA
"42","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","001769","소프트웨어공학","전선",NA,NA,"3","A0","GRADE","4.0",NA
"43","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","A+","GRADE","4.5",NA
"44","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","003284","컴퓨터네트워크","전선","기본이수",NA,"3","B+","GRADE","3.5",NA
"45","2016","2학기","12","s64","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","A+","GRADE","4.5",NA
"46","2016","겨울학기","12","s64","전자정보공학대학 컴퓨터공학과","008073","심화프로그래밍설계","전선",NA,NA,"3","B+","GRADE","3.5",NA
"47","2012","2학기","12","s65","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5","2012-1 004038 C프로그래밍(학부)"
"48","2012","2학기","12","s65","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","C+","GRADE","2.5",NA
"49","2013","1학기","12","s65","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","C0","GRADE","2.0",NA
"50","2013","1학기","12","s65","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","C0","GRADE","2.0",NA
"51","2013","1학기","12","s65","전자정보공학대학 컴퓨터공학과","007589","기초프로그래밍설계","전선",NA,NA,"3","C0","GRADE","2.0",NA
"52","2013","2학기","12","s65","전자정보공학대학 컴퓨터공학과","002010","알고리즘","전필",NA,NA,"3","B0","GRADE","3.0",NA
"53","2013","2학기","12","s65","전자정보공학대학 컴퓨터공학과","002493","이산수학","전선",NA,NA,"3","B+","GRADE","3.5",NA
"54","2013","2학기","12","s65","전자정보공학대학 컴퓨터공학과","003276","컴퓨터구조론","전필",NA,NA,"3","C+","GRADE","2.5",NA
"55","2013","2학기","12","s65","전자정보공학대학 컴퓨터공학과","006473","C++프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5",NA
"56","2012","2학기","12","s66","전자정보공학대학 컴퓨터공학과","007311","공학설계기초","전필",NA,NA,"3","C+","GRADE","2.5",NA
"57","2015","1학기","12","s66","전자정보공학대학 컴퓨터공학과","004038","C프로그래밍","전필",NA,NA,"3","B+","GRADE","3.5","2012-2 004038 C프로그래밍(학부)"
"58","2015","2학기","12","s66","전자정보공학대학 컴퓨터공학과","001725","선형대수","전선",NA,NA,"3","B+","GRADE","3.5",NA
"59","2015","2학기","12","s66","전자정보공학대학 컴퓨터공학과","005130","JAVA프로그래밍","전선",NA,NA,"3","C+","GRADE","2.5",NA
"60","2015","2학기","12","s66","전자정보공학대학 컴퓨터공학과","005636","멀티미디어","전선",NA,NA,"3","B+","GRADE","3.5",NA
"61","2016","1학기","12","s66","전자정보공학대학 컴퓨터공학과","004118","디지털시스템","전필",NA,NA,"3","B+","GRADE","3.5",NA
"62","2016","1학기","12","s66","전자정보공학대학 컴퓨터공학과","004268","데이터구조론","전필",NA,NA,"3","F","GRADE","0.0",NA
