"..1","class_number","grade","평점","C_test","activity","Coding","Teamwork","Math","score","등급"
"1","s1374",1.875,0,0,111,1.75,2.5,1,33.875,"5등급"
"2","s821",1.375,1,111,111,1.16666666666667,1,1.16666666666667,44.7733333333333,"5등급"
"3","s388",1.9375,1,111,111,1.85,3,1.375,45.0375,"5등급"
"4","s399",1.85,2,222,111,2,1.5,1.66666666666667,56.15,"5등급"
"5","s684",1.97368421052632,2.5,278,111,1.86842105263158,3.5,2.33333333333333,61.8238596491228,"5등급"
"6","s1457",2.41666666666667,0,0,222,2,2,2.25,67.29,"5등급"
"7","s826",2.4375,0,0,222,2,2.5,2.5,67.325,"5등급"
"8","s1004",2.52631578947368,0,0,222,2.33333333333333,3,2.5,67.45,"5등급"
"9","s1137",2.28571428571429,0,0,222,2.7,2.5,1.83333333333333,67.5016666666667,"5등급"
"10","s117",2.6,0,0,222,3,2.5,2.16666666666667,67.6083333333333,"5등급"
"11","s264",2.9375,0,0,222,2.96153846153846,3.25,2.85714285714286,67.6741758241758,"5등급"
"12","s1289",2.75,1,111,222,1,3.5,1.5,78.105,"5등급"
"13","s700",2.68181818181818,1,111,222,1.625,3.5,2.875,78.38875,"5등급"
"14","s1097",2.16666666666667,1,111,222,1.92857142857143,2.5,2.25,78.3910714285714,"5등급"
"15","s713",2.1875,1,111,222,2,3.5,1.5,78.405,"5등급"
"16","s1017",2.46,1,111,222,2.07692307692308,2.5,1.91666666666667,78.4189102564102,"5등급"
"17","s219",2.53846153846154,1,111,222,2.20833333333333,2.5,2.25,78.475,"5등급"
"18","s845",2.84782608695652,1,111,222,2.11111111111111,3.5,2.66666666666667,78.52,"5등급"
"19","s793",2.60416666666667,1,111,222,2.26666666666667,3,2.6,78.536,"5등급"
"20","s1168",2.63333333333333,1,111,222,2.77777777777778,2.5,2,78.6333333333333,"5등급"
"21","s1030",2.88888888888889,1,111,222,2.58333333333333,3.5,2.75,78.6675,"5등급"
"22","s425",2.23529411764706,1.5,167,222,1.375,3.5,2.1,83.8595,"5등급"
"23","s1101",2.54166666666667,1.5,167,222,1.6,3.5,3,83.99,"5등급"
"24","s123",2.56818181818182,1.5,167,222,2.38636363636364,3,1.5,84.1059090909091,"5등급"
"25","s1094",2.79411764705882,1.5,167,222,2.8125,3.5,1.875,84.275,"5등급"
"26","s1075",2.58823529411765,2,222,222,1.875,2.5,2.25,89.475,"5등급"
"27","s1065",2.225,2,222,222,1.91666666666667,2.5,2.5,89.5,"5등급"
"28","s743",2.14583333333333,2,222,222,2.07692307692308,2.5,1.7,89.5080769230769,"5등급"
"29","s390",2.17391304347826,2,222,222,2.08333333333333,2.5,1.875,89.51875,"5등급"
"30","s1029",2.20833333333333,2,222,222,2.08333333333333,2.5,2,89.525,"5등급"
"31","s1618",2.81578947368421,2,222,222,2.35714285714286,1,2,89.5471428571429,"5등급"
"32","s801",2.57692307692308,2,222,222,2.1,3.5,2,89.57,"5등급"
"33","s1052",2.36666666666667,2,222,222,2.25,2.5,2.66666666666667,89.6083333333333,"5등급"
"34","s502",2.77631578947368,2,222,222,2.41176470588235,2.5,2.25,89.6360294117647,"5등급"
"35","s1018",2.675,2,222,222,2.1875,3.5,2.75,89.64875,"5등급"
"36","s1149",2.7,2,222,222,2.41666666666667,2.5,2.625,89.65625,"5등급"
"37","s545",2.80882352941176,2,222,222,2.32352941176471,3,2.85714285714286,89.668487394958,"5등급"
"38","s593",2.37931034482759,2,222,222,2.46428571428571,3.5,2,89.6792857142857,"5등급"
"39","s318",2.67142857142857,2,222,222,2.46666666666667,3.25,2.1875,89.6821875,"5등급"
"40","s762",2.79166666666667,2,222,222,2.44444444444444,3,2.5,89.6833333333333,"5등급"
"41","s534",2.83333333333333,2,222,222,2.66666666666667,2,2.25,89.69,"5등급"
"42","s1009",2.61538461538462,2,222,222,2.57142857142857,2.5,2.5,89.6964285714286,"5등급"
"43","s1139",2.64583333333333,2,222,222,2.33333333333333,3.5,2.9,89.703,"5등급"
"44","s787",2.93103448275862,2,222,222,2.60714285714286,2.5,2.66666666666667,89.7154761904762,"5등급"
"45","s445",2.77272727272727,2,222,222,2.3,3.5,3.3,89.721,"5등급"
"46","s651",2.5,2,222,222,2.72222222222222,4,2,89.7766666666667,"5등급"
"47","s1173",2.58823529411765,2.5,278,222,2.16666666666667,3,1.25,95.125,"5등급"
"48","s1036",2.70588235294118,2.5,278,222,2.0625,2.5,2.625,95.15,"5등급"
"49","s186",2.59090909090909,2.5,278,222,2.25,2,1.9375,95.1525,"5등급"
"50","s780",2.22727272727273,2.5,278,222,2.04166666666667,3.5,2.1,95.1595,"5등급"
"51","s421",2.5,2.5,278,222,2.17391304347826,2.5,2.44444444444444,95.1743961352657,"5등급"
"52","s815",2.68181818181818,2.5,278,222,2.34615384615385,2.5,2.1,95.2088461538462,"5등급"
"53","s1080",2.34210526315789,2.5,278,222,2.38461538461538,2.5,2.33333333333333,95.2320512820513,"5등급"
"54","s1063",2.22222222222222,2.5,278,222,2.45833333333333,2.5,2,95.2375,"5등급"
"55","s863",2.60416666666667,2.5,278,222,2.33333333333333,2.5,3,95.25,"5등급"
"56","s666",2.71428571428571,2.5,278,222,2.38461538461538,2.5,2.92857142857143,95.2618131868132,"5등급"
"57","s1053",2.92105263157895,2.5,278,222,2.5,2.5,2.5,95.275,"5등급"
"58","s962",2.86842105263158,2.5,278,222,2.44736842105263,3.25,2.16666666666667,95.2750438596491,"5등급"
"59","s828",2.65,2.5,278,222,2.61111111111111,2.5,2.5,95.3083333333333,"5등급"
"60","s850",2.64814814814815,2.5,278,222,2.58823529411765,2.5,3,95.3264705882353,"5등급"
"61","s1031",2.51612903225806,2.5,278,222,2.625,3.5,2,95.3275,"5등급"
"62","s820",2.79166666666667,2.5,278,222,2.58333333333333,3,2.55555555555556,95.3283333333333,"5등급"
"63","s771",2.91379310344828,2.5,278,222,2.78125,3,2.7,95.396375,"5등급"
"64","s244",2.95161290322581,2.5,278,222,2.8125,3.5,2.58333333333333,95.4245833333333,"5등급"
"65","s636",2.86538461538462,2.5,278,222,2.88461538461538,3.25,2.625,95.4360096153846,"5등급"
"66","s577",2.80555555555556,2.5,278,222,2.97058823529412,3.33333333333333,2.25,95.4411764705882,"5등급"
"67","s757",2.91071428571429,2.5,278,222,3,3.5,2.16666666666667,95.4516666666667,"5등급"
"68","s215",2.63461538461538,2.5,278,222,2.75,4,2.9,95.457,"5등급"
"69","s936",2.95,2.5,278,222,2.85,3.5,3,95.465,"5등급"
"70","s1024",2.96875,2.5,278,222,3.21428571428571,3.5,2.8,95.5602857142857,"5등급"
"71","s743",2.14583333333333,3,333,222,2.07692307692308,2.5,1.7,100.608076923077,"5등급"
"72","s1468",2.17647058823529,3,333,222,2,2.5,2.25,100.6125,"5등급"
"73","s1439",2,3,333,222,2.16666666666667,2.5,1.5,100.625,"5등급"
"74","s405",2.62,3,333,222,2.13636363636364,2.5,2,100.640909090909,"5등급"
"75","s1356",2.54545454545455,3,333,222,2.16666666666667,2.5,2,100.65,"5등급"
"76","s1301",2.61538461538462,3,333,222,2.27272727272727,2,1.75,100.651818181818,"5등급"
"77","s1346",2.28571428571429,3,333,222,2.16666666666667,2.5,2.5,100.675,"5등급"
"78","s836",2.4,3,333,222,2.33333333333333,2,2.125,100.685,"5등급"
"79","s813",2.64,3,333,222,2.29166666666667,2.5,2.1,100.6925,"5등급"
"80","s1484",2.25,3,333,222,2.5,2.5,1,100.7,"5등급"
"81","s729",2.25,3,333,222,2.5,1.5,1.7,100.701,"5등급"
"82","s1311",2.5,3,333,222,2.16666666666667,3,2.625,100.7075,"5등급"
"83","s752",2.25,3,333,222,2.4,2.5,1.75,100.7075,"5등급"
"84","s464",2.51063829787234,3,333,222,2.3,3.5,1.91666666666667,100.724166666667,"5등급"
"85","s1360",2.45,3,333,222,2.35,3,2,100.725,"5등급"
"86","s557",2.30434782608696,3,333,222,2.46153846153846,2.5,1.75,100.725961538462,"5등급"
"87","s1542",2.78571428571429,3,333,222,2.38888888888889,3,2,100.736666666667,"5등급"
"88","s1144",2.75,3,333,222,2.33333333333333,2.5,2.75,100.7375,"5등급"
"89","s804",2.475,3,333,222,2.5,2.5,1.75,100.7375,"5등급"
"90","s1420",2.25,3,333,222,2.5,2,2.33333333333333,100.743333333333,"5등급"
"91","s678",2.35294117647059,3,333,222,2.3,3.5,2.25,100.7475,"5등급"
"92","s413",2.53571428571429,3,333,222,2.5,2.5,2,100.75,"5등급"
"93","s543",2.5625,3,333,222,2.76923076923077,1,1,100.750769230769,"5등급"
"94","s110",2.47142857142857,3,333,222,2.54545454545455,2.5,1.875,100.757386363636,"5등급"
"95","s539",2.11764705882353,3,333,222,2.7,1.5,1.75,100.7625,"5등급"
"96","s142",2.55128205128205,3,333,222,2.34,4,2.08333333333333,100.768666666667,"5등급"
"97","s194",2.56944444444444,3,333,222,2.55,2.5,2.16666666666667,100.773333333333,"5등급"
"98","s1725",2.5625,3,333,222,2.33333333333333,3,3,100.78,"5등급"
"99","s1594",2.65217391304348,3,333,222,2.6,3.25,1.75,100.79375,"5등급"
"100","s1282",2.86363636363636,3,333,222,2.5,3.5,2.125,100.79875,"5등급"
"101","s150",2.44594594594595,3,333,222,2.55,3.5,2.07142857142857,100.81,"5등급"
"102","s1485",2.825,3,333,222,2.55555555555556,2.5,2.875,100.810416666667,"5등급"
"103","s722",2.7037037037037,3,333,222,2.43333333333333,3.5,2.58333333333333,100.810833333333,"5등급"
"104","s744",2.80555555555556,3,333,222,2.52272727272727,3.25,2.42857142857143,100.814675324675,"5등급"
"105","s1146",2.47058823529412,3,333,222,2.57142857142857,3.5,2.16666666666667,100.823095238095,"5등급"
"106","s1470",2.56818181818182,3,333,222,2.6,2.5,2.875,100.82375,"5등급"
"107","s996",2.56666666666667,3,333,222,2.57692307692308,3.5,2.16666666666667,100.824743589744,"5등급"
"108","s1345",2.45454545454545,3,333,222,2.75,2.5,2,100.825,"5등급"
"109","s1371",2.82352941176471,3,333,222,2.5,2.5,3.5,100.825,"5등급"
"110","s1376",2.6,3,333,222,2.66666666666667,2.5,2.5,100.825,"5등급"
